Species Name,Year Described,Group,,,,DATA mostly from here: http://www.curioustaxonomy.net/ with some checking up on years of publication for description. Attenborough section is incomplete and there are more delights on that website
"Gollumiella Hedqvist, 1978",1978,Tolkien/LOTR,,,,
Gollumjapyx smeagol,2006,Tolkien/LOTR,,,,
Galaxias gollumoides ,1999,Tolkien/LOTR,,,,
Ingerophrynus gollum Grismer 2007,2007,Tolkien/LOTR,,,,
Gwaihiria Nauman,1982,Tolkien/LOTR,,,,
"Khamul Gates, 2008",2008,Tolkien/LOTR,,,,
"Khamul gothmogi Gates, 2008",2008,Tolkien/LOTR,,,,
"Legolasia Hedqvist, 1974",1974,Tolkien/LOTR,,,,
"Litaletes ondolinde Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Macrostyphlus gandalf Morrone, 1994",1994,Tolkien/LOTR,,,,
"Mimotricentes mirielae Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Mimatuta morgoth Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Mimatuta minuial Van Valen, 1978 (",1978,Tolkien/LOTR,,,,
"Mithrandir Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Nazgulia Hedqvist, 1973",1973,Tolkien/LOTR,,,,
"Tetramorium nazgul and T. smaug Hita Garcia & Fisher, 2012 (",2012,Tolkien/LOTR,,,,
"Niphredil radagasti Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Oinia Hedqvist, 1978",1978,Tolkien/LOTR,,,,
"Oxyprimus galadrielae Van Valen, 1978 (",1978,Tolkien/LOTR,,,,
Pericompsus bilbo Erwin,1974,Tolkien/LOTR,,,,
"Platymastus palantir Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Protungulatum gorgun Van Valen, 1978",1978,Tolkien/LOTR,,,,
"Sauroniops Cau et al., 2012",2012,Tolkien/LOTR,,,,
"Macropsis sauroni Hamilton, 1972",1972,Tolkien/LOTR,,,,
"Shireplitis Fernandez-Triana & Ward, 2013",2013,Tolkien/LOTR,,,,
"S. bilboi, , ,, , and .",2013,Tolkien/LOTR,,,,
S. frodoi,2013,Tolkien/LOTR,,,,
S. meriadoci,2013,Tolkien/LOTR,,,,
 S. peregrini,2013,Tolkien/LOTR,,,,
S. samwisei,2013,Tolkien/LOTR,,,,
S. tolkieni,2013,Tolkien/LOTR,,,,
"Smaug Stanley et al., 2011",2011,Tolkien/LOTR,,,,
"Smeagol Climo, 1980",1980,Tolkien/LOTR,,,,
"Smeagolia Hedqvist, 1973",1973,Tolkien/LOTR,,,,
"Syconycteris hobbit Ziegler, 1982",1982,Tolkien/LOTR,,,,
"Thangorodrim thalion Van Valen (Paleocene mammal, synonym of Oxyclaenus Cope 1884",1978,Tolkien/LOTR,,,,
Tinuviel Van Valen,1978,Tolkien/LOTR,,,,
"Yavanna Vera, 2013 (",2013,Tolkien/LOTR,,,,
"Gabrius tolkieni Schillhammer, 1997",1997,Tolkien/LOTR,,,,
"Khamul tolkieni Gates, 2008",2008,Tolkien/LOTR,,,,
"Leucothoe tolkieni G. Vinogradov, 1990",1990,Tolkien/LOTR,,,,
"Martesia (Paramartesia) tolkieni Kennedy, 1975",1975,Tolkien/LOTR,,,,
Blakea attenboroughi,,Attenborough,,,,
Ctenocheloides,,Attenborough,,,,
Electrotettix,,Attenborough,,,,
"Hieracium attenboroughianum, 2004",2004,Attenborough,,,,
Nepenthes attenboroughii,,Attenborough,,,,
Prethopalpus attenboroughi,,Attenborough,,,,
Sir David's long-beaked echidna,,Attenborough,,,,
Trigonopterus attenboroughi,,Attenborough,,,,
Oxybelus cocacolae,1968,Corporates,wasp,,,
Proceratium google,2005,Corporates,ant,,,
Dypsis mcdonaldiana,1995,Corporates,palm,,,
